number,date,player1,player2,player3,note,url,id,season
2347,1994-11-15,Bill Pitassy,Fred Frank,Jeff Stewart,1994 Tournament of Champions quarterfinal game 2.,http://www.j-archive.com/showgame.php?game_id=2556,2556,11
2346,1994-11-14,Jean Grewe,Tom Nichols,Matt Morris,1994 Tournament of Champions quarterfinal game 1.,http://www.j-archive.com/showgame.php?game_id=2554,2554,11
2345,1994-11-11,David Hyde Pierce,Markie Post,Tim Matheson,1994 Celebrity Jeopardy! game 5.,http://www.j-archive.com/showgame.php?game_id=5308,5308,11
2344,1994-11-10,Kathy Mattea,Doug Savant,Michael Sabatino,1994 Celebrity Jeopardy! game 4.,http://www.j-archive.com/showgame.php?game_id=5299,5299,11
2343,1994-11-09,Jason Alexander,Marilu Henner,Lou Diamond Phillips,1994 Celebrity Jeopardy! game 3.,http://www.j-archive.com/showgame.php?game_id=5303,5303,11
2342,1994-11-08,Kareem Abdul-Jabbar,Alexandra Paul,Larry King,1994 Celebrity Jeopardy! game 2.,http://www.j-archive.com/showgame.php?game_id=5194,5194,11
2341,1994-11-07,General H. Norman Schwarzkopf,Stefanie Powers,Tony Randall,1994 Celebrity Jeopardy! game 1.,http://www.j-archive.com/showgame.php?game_id=3453,3453,11
2340,1994-11-04,Ryan Holznagel,Cherie Christopher,Steve Buchthal,Ryan Holznagel game 2.,http://www.j-archive.com/showgame.php?game_id=374,374,11
2339,1994-11-03,Russ Woodford,Yung-Chang Chi,Ryan Holznagel,Ryan Holznagel game 1.,http://www.j-archive.com/showgame.php?game_id=373,373,11
2334,1994-10-27,Bill Pitassy,Laurel Stevens,Mike Simon,Bill Pitassy game 4.,http://www.j-archive.com/showgame.php?game_id=3962,3962,11
2320,1994-10-07,Dan Seiden,Rob Allen,Dorothy Mallonee,,http://www.j-archive.com/showgame.php?game_id=4103,4103,11
2307,1994-09-20,Jim Sears,Neil Quarterman,Chris Keller,,http://www.j-archive.com/showgame.php?game_id=5398,5398,11
2302,1994-09-13,Matt Handel,Karen Peters,Lane Rensselaer,Missing introductions & player interviews.,http://www.j-archive.com/showgame.php?game_id=6031,6031,11
2298,1994-09-07,Steve Chernicoff,Tom Epstein,Rose Buetikofer,Steve Chernicoff game 5. Alex explains a new eligibility requirement...,http://www.j-archive.com/showgame.php?game_id=4305,4305,11
2754,1996-07-18,Ulf Jensen,Mandi Hale,Jan Mertens,1996 Olympic Games Tournament final game.,http://www.j-archive.com/showgame.php?game_id=406,406,12
2753,1996-07-17,Ryan Holznagel,Ulf Jensen,Hasib Yildirim,1996 Olympic Games Tournament semifinal game 3.,http://www.j-archive.com/showgame.php?game_id=400,400,12
2752,1996-07-16,Mandi Hale,Tom Kinne,Soren Wedderkopp,1996 Olympic Games Tournament semifinal game 2.,http://www.j-archive.com/showgame.php?game_id=399,399,12
2751,1996-07-15,Elena Kislenkova,Steinar Madsen,Jan Mertens,1996 Olympic Games Tournament semifinal game 1.,http://www.j-archive.com/showgame.php?game_id=398,398,12
2749,1996-07-11,Stephen Lewis,Jack Call,Donna Beckage,,http://www.j-archive.com/showgame.php?game_id=5541,5541,12
2747,1996-07-09,Gary Frost,Tony Harkins,Linda Monk,,http://www.j-archive.com/showgame.php?game_id=6077,6077,12
2742,1996-07-02,Paul Carlson,Mike Kravitz,Marilyn Newcomer,,http://www.j-archive.com/showgame.php?game_id=4501,4501,12
2739,1996-06-27,Don Sloan,Brian Clouse,Kit Hope,,http://www.j-archive.com/showgame.php?game_id=4497,4497,12
2737,1996-06-25,Karl Coryat,Rob Mitchell,Don Sloan,Karl Coryat game 3.,http://www.j-archive.com/showgame.php?game_id=1070,1070,12
2736,1996-06-24,Karl Coryat,Pete Brunner,Sandy Andina,Karl Coryat game 2.,http://www.j-archive.com/showgame.php?game_id=1053,1053,12
2735,1996-06-21,Mary Hirschfeld,Michael Dominguez,Karl Coryat,"Mary Hirschfeld game 5.
Karl Coryat game 1.",http://www.j-archive.com/showgame.php?game_id=1045,1045,12
